timestamp_ms,vehicles_left,intensity_left,vehicles_right,intensity_right
5933.333333333334,1,Smooth,1,Smooth
5966.666666666667,1,Smooth,1,Smooth
6000.0,1,Smooth,0,Smooth
6033.333333333333,1,Smooth,0,Smooth
6066.666666666666,1,Smooth,0,Smooth
6100.0,1,Smooth,0,Smooth
6133.333333333333,1,Smooth,0,Smooth
6166.666666666667,1,Smooth,0,Smooth
6200.0,1,Smooth,0,Smooth
6233.333333333333,1,Smooth,0,Smooth
6266.666666666667,1,Smooth,0,Smooth
6300.0,1,Smooth,0,Smooth
6333.333333333333,1,Smooth,0,Smooth
6366.666666666666,1,Smooth,0,Smooth
6400.0,1,Smooth,0,Smooth
6433.333333333334,1,Smooth,0,Smooth
6466.666666666667,1,Smooth,0,Smooth
6500.0,1,Smooth,0,Smooth
6533.333333333333,1,Smooth,0,Smooth
6566.666666666666,1,Smooth,0,Smooth
6600.0,1,Smooth,0,Smooth
6633.333333333333,0,Smooth,0,Smooth
6666.666666666667,0,Smooth,0,Smooth
6700.0,0,Smooth,0,Smooth
6733.333333333333,0,Smooth,0,Smooth
6766.666666666667,0,Smooth,0,Smooth
6800.0,0,Smooth,0,Smooth
6833.333333333333,0,Smooth,0,Smooth
6866.666666666666,0,Smooth,0,Smooth
6899.999999999999,0,Smooth,0,Smooth
6933.333333333334,0,Smooth,0,Smooth
6966.666666666667,0,Smooth,0,Smooth
7000.0,0,Smooth,0,Smooth
7033.333333333333,0,Smooth,0,Smooth
7066.666666666666,0,Smooth,0,Smooth
7100.0,0,Smooth,0,Smooth
7133.333333333333,0,Smooth,0,Smooth
7166.666666666667,0,Smooth,0,Smooth
7200.0,0,Smooth,0,Smooth
7233.333333333333,0,Smooth,0,Smooth
7266.666666666667,0,Smooth,0,Smooth
7300.0,0,Smooth,0,Smooth
7333.333333333333,0,Smooth,0,Smooth
7366.666666666666,0,Smooth,0,Smooth
7399.999999999999,0,Smooth,0,Smooth
7433.333333333334,0,Smooth,0,Smooth
7466.666666666667,0,Smooth,0,Smooth
7500.0,0,Smooth,0,Smooth
7533.333333333333,0,Smooth,0,Smooth
7566.666666666666,0,Smooth,0,Smooth
7600.0,0,Smooth,0,Smooth
7633.333333333333,0,Smooth,0,Smooth
7666.666666666667,0,Smooth,0,Smooth
7700.0,0,Smooth,0,Smooth
7733.333333333333,0,Smooth,0,Smooth
7766.666666666667,1,Smooth,0,Smooth
7800.0,1,Smooth,0,Smooth
7833.333333333333,0,Smooth,0,Smooth
7866.666666666666,1,Smooth,0,Smooth
7899.999999999999,0,Smooth,0,Smooth
7933.333333333334,1,Smooth,0,Smooth
7966.666666666667,1,Smooth,0,Smooth
8000.0,1,Smooth,0,Smooth
8033.333333333333,1,Smooth,0,Smooth
8066.666666666666,1,Smooth,0,Smooth
8100.0,1,Smooth,0,Smooth
8133.333333333333,1,Smooth,0,Smooth
8166.666666666666,1,Smooth,0,Smooth
8200.0,1,Smooth,0,Smooth
8233.333333333332,1,Smooth,0,Smooth
8266.666666666666,1,Smooth,0,Smooth
8300.0,1,Smooth,1,Smooth
8333.333333333334,1,Smooth,1,Smooth
8366.666666666668,1,Smooth,2,Smooth
8400.0,1,Smooth,2,Smooth
8433.333333333334,1,Smooth,2,Smooth
8466.666666666666,1,Smooth,1,Smooth
8500.0,1,Smooth,1,Smooth
8533.333333333334,1,Smooth,1,Smooth
8566.666666666666,1,Smooth,1,Smooth
